  150859 -0.5199530E-15 -0.5240575E-15  0.4104468E-17
  150879 -0.5199462E-15 -0.5240144E-15  0.4068114E-17
  150899 -0.5199237E-15 -0.5240326E-15  0.4108845E-17
  150919 -0.5199969E-15 -0.5240073E-15  0.4010426E-17
  150939 -0.5199777E-15 -0.5240604E-15  0.4082732E-17
  150959 -0.5199855E-15 -0.5240691E-15  0.4083594E-17
  150979 -0.5199624E-15 -0.5240147E-15  0.4052317E-17
  150999 -0.5199665E-15 -0.5240211E-15  0.4054563E-17
  151019 -0.5200004E-15 -0.5240171E-15  0.4016689E-17
  151039 -0.5200213E-15 -0.5239991E-15  0.3977790E-17
  151059 -0.5200422E-15 -0.5240312E-15  0.3989043E-17
  151079 -0.5200776E-15 -0.5240039E-15  0.3926384E-17
  151099 -0.5200895E-15 -0.5239800E-15  0.3890449E-17
  151119 -0.5201004E-15 -0.5239424E-15  0.3842003E-17
  151139 -0.5200936E-15 -0.5238938E-15  0.3800154E-17
  151159 -0.5200225E-15 -0.5239689E-15  0.3946368E-17
  151179 -0.5200456E-15 -0.5240324E-15  0.3986857E-17
  151199 -0.5200267E-15 -0.5240326E-15  0.4005864E-17
  151219 -0.5200187E-15 -0.5239984E-15  0.3979691E-17
  151239 -0.5200103E-15 -0.5239605E-15  0.3950242E-17
  151259 -0.5200587E-15 -0.5239769E-15  0.3918184E-17
  151279 -0.5199945E-15 -0.5239384E-15  0.3943844E-17
  151299 -0.5199641E-15 -0.5239671E-15  0.4002965E-17
  151319 -0.5200053E-15 -0.5241023E-15  0.4097044E-17
  151339 -0.5200039E-15 -0.5240710E-15  0.4067188E-17
  151359 -0.5199502E-15 -0.5239715E-15  0.4021387E-17
  151379 -0.5199600E-15 -0.5239522E-15  0.3992177E-17
  151399 -0.5199407E-15 -0.5239101E-15  0.3969390E-17
  151419 -0.5199229E-15 -0.5239277E-15  0.4004755E-17
  151439 -0.5199332E-15 -0.5239361E-15  0.4002960E-17
  151459 -0.5199218E-15 -0.5238487E-15  0.3926854E-17
  151479 -0.5199143E-15 -0.5238396E-15  0.3925304E-17
  151499 -0.5199725E-15 -0.5239459E-15  0.3973428E-17
  151519 -0.5200058E-15 -0.5239358E-15  0.3930004E-17
  151539 -0.5200626E-15 -0.5239810E-15  0.3918403E-17
  151559 -0.5201288E-15 -0.5240967E-15  0.3967930E-17
  151579 -0.5201369E-15 -0.5240698E-15  0.3932876E-17
  151599 -0.5200876E-15 -0.5239803E-15  0.3892659E-17
  151619 -0.5200820E-15 -0.5239692E-15  0.3887229E-17
  151639 -0.5200637E-15 -0.5240000E-15  0.3936302E-17
  151659 -0.5200855E-15 -0.5240361E-15  0.3950599E-17
  151679 -0.5200661E-15 -0.5240619E-15  0.3995778E-17
  151699 -0.5200298E-15 -0.5240347E-15  0.4004858E-17
  151719 -0.5200027E-15 -0.5239545E-15  0.3951872E-17
  151739 -0.5200308E-15 -0.5239808E-15  0.3950011E-17
  151759 -0.5200179E-15 -0.5240722E-15  0.4054303E-17
  151779 -0.5200526E-15 -0.5240398E-15  0.3987145E-17
  151799 -0.5200415E-15 -0.5240215E-15  0.3979946E-17
  151819 -0.5200188E-15 -0.5240501E-15  0.4031305E-17
  151839 -0.5200125E-15 -0.5240311E-15  0.4018632E-17
  151859 -0.5200503E-15 -0.5240035E-15  0.3953155E-17
  151879 -0.5200575E-15 -0.5240351E-15  0.3977603E-17
  151899 -0.5201074E-15 -0.5240590E-15  0.3951607E-17
  151919 -0.5201081E-15 -0.5240783E-15  0.3970219E-17
  151939 -0.5201150E-15 -0.5241169E-15  0.4001829E-17
  151959 -0.5200936E-15 -0.5240668E-15  0.3973165E-17
  151979 -0.5200638E-15 -0.5239961E-15  0.3932224E-17
  151999 -0.5200583E-15 -0.5239616E-15  0.3903252E-17
  152019 -0.5200615E-15 -0.5239852E-15  0.3923688E-17
  152039 -0.5200382E-15 -0.5239658E-15  0.3927658E-17
  152059 -0.5199942E-15 -0.5239510E-15  0.3956764E-17
  152079 -0.5199905E-15 -0.5239621E-15  0.3971560E-17
  152099 -0.5199714E-15 -0.5239606E-15  0.3989248E-17
  152119 -0.5200296E-15 -0.5239702E-15  0.3940599E-17
  152139 -0.5199905E-15 -0.5240207E-15  0.4030150E-17
  152159 -0.5199847E-15 -0.5239735E-15  0.3988845E-17
  152179 -0.5199723E-15 -0.5239304E-15  0.3958141E-17
  152199 -0.5199576E-15 -0.5239461E-15  0.3988511E-17
  152219 -0.5200121E-15 -0.5239985E-15  0.3986354E-17
  152239 -0.5200504E-15 -0.5240136E-15  0.3963199E-17
  152259 -0.5201156E-15 -0.5240633E-15  0.3947756E-17
  152279 -0.5200868E-15 -0.5240843E-15  0.3997549E-17
  152299 -0.5200687E-15 -0.5240113E-15  0.3942532E-17
  152319 -0.5200349E-15 -0.5239888E-15  0.3953865E-17
  152339 -0.5199942E-15 -0.5239911E-15  0.3996886E-17
  152359 -0.5199983E-15 -0.5240292E-15  0.4030938E-17
  152379 -0.5200105E-15 -0.5240628E-15  0.4052328E-17
  152399 -0.5200280E-15 -0.5240470E-15  0.4018945E-17
  152419 -0.5200234E-15 -0.5240474E-15  0.4023988E-17
  152439 -0.5200637E-15 -0.5240445E-15  0.3980821E-17
  152459 -0.5200403E-15 -0.5240102E-15  0.3969937E-17
