    20  0.2887464D-02 -0.6910059D-03 -0.6105816D-03
    21 -0.2091898D-02 -0.2101726D-02  0.1851707D-02
    22 -0.1151670D-03  0.1129820D-02 -0.3571360D-02
    23  0.3015155D-02 -0.1695153D-02 -0.1983221D-04
    24 -0.3970968D-03 -0.1382331D-02 -0.3491377D-02
    25 -0.1858739D-02 -0.2704726D-02 -0.1427413D-02
    26  0.8176736D-03  0.3218850D-02 -0.9861806D-03
    27  0.5322146D-03  0.1263061D-02  0.2763478D-02
    28 -0.1294929D-02 -0.1022817D-02  0.2440600D-02
    29 -0.5687242D-03  0.1931753D-03  0.2865183D-02
    30  0.2221116D-03  0.9039903D-03  0.2918820D-02
    31  0.1655887D-02  0.2133984D-02 -0.2746513D-02
    32  0.1251649D-04 -0.8291082D-03  0.2939491D-02
    33 -0.1285038D-02  0.2755790D-02 -0.1240436D-02
    34 -0.2497742D-02  0.2128957D-02 -0.2118731D-02
    35 -0.2374105D-02  0.1882411D-02  0.1735960D-02
    36  0.7060794D-03 -0.3065879D-02  0.7384171D-03
    37 -0.5135843D-04  0.2266081D-02  0.2154706D-02
    38  0.2985945D-02 -0.4345871D-03 -0.2075028D-02
    39 -0.1312290D-03  0.1461252D-03  0.3030138D-02
    40 -0.1606677D-02  0.9326064D-03 -0.3360042D-02
    41 -0.5132483D-03 -0.2575487D-02  0.2341678D-02
    42  0.2482337D-02 -0.2082136D-02  0.8057277D-03
    43  0.3134123D-02  0.9339644D-03  0.5814970D-03
    44  0.6699161D-04 -0.3104345D-02 -0.1967654D-02
    45 -0.1796956D-02 -0.2097981D-02 -0.1827179D-02
    46  0.6180975D-03  0.1546256D-02  0.2647933D-02
    47  0.5318103D-03  0.1805094D-03 -0.3802631D-02
    48 -0.1081711D-02 -0.1065161D-02 -0.3135454D-02
    49  0.1763622D-02 -0.2636472D-02  0.6672183D-03
    50 -0.4721884D-03  0.4881870D-03 -0.3371489D-02
    51 -0.7086322D-03  0.1034376D-03  0.3418117D-02
